Id,country,points,price,province,region,variety
1,Argentina,88,15,Mendoza Province,Agrelo,Cabernet Sauvignon
2,Argentina,94,50,Mendoza Province,Mendoza,Cabernet Sauvignon
3,Argentina,86,10,Other,San Juan,Sauvignon Blanc
4,Argentina,86,23,Mendoza Province,Mendoza,Malbec
5,Argentina,86,15,Mendoza Province,Mendoza,Malbec
6,Argentina,86,14,Mendoza Province,Mendoza,Torrontas
7,Argentina,88,25,Mendoza Province,Tupungato,Malbec
8,Argentina,86,26,Mendoza Province,Mendoza,Torrontas
9,Argentina,86,39,Other,Argentina,Malbec
10,Argentina,85,14,Mendoza Province,Mendoza,Malbec
11,Argentina,85,13,Mendoza Province,Mendoza,White Blend
12,Argentina,85,30,Mendoza Province,Tupungato,Bordeaux-style Red Blend
13,Argentina,85,15,Mendoza Province,Valle de Uco,Sparkling Blend
14,Argentina,93,40,Mendoza Province,Valle de Uco,Malbec
15,Argentina,85,11,Mendoza Province,Mendoza,Malbec
16,Argentina,85,12,Mendoza Province,Mendoza,Malbec
17,Argentina,88,18,Other,Cafayate,Torrontas
18,Argentina,88,29,Other,Alto Valle del Ra?o Negro,Cabernet Franc
19,Argentina,88,12,Other,Cafayate,Torrontas
20,Argentina,93,38,Mendoza Province,Mendoza,Cabernet Blend
21,Argentina,85,35,Mendoza Province,Mendoza,Malbec
22,Argentina,85,13,Mendoza Province,Mendoza,Malbec
23,Argentina,87,11,Mendoza Province,Mendoza,Malbec
24,Argentina,87,38,Mendoza Province,Mendoza,Malbec
25,Argentina,87,18,Mendoza Province,Mendoza,Pinot Noir
26,Argentina,88,21,Mendoza Province,Mendoza,Cabernet Sauvignon
27,Argentina,88,28,Mendoza Province,Uco Valley,Malbec
28,Argentina,90,30,Mendoza Province,Uco Valley,Malbec
29,Argentina,90,24,Mendoza Province,Mendoza,Malbec
30,Argentina,85,16,Other,La Rioja,Torrontas
31,Argentina,84,12,Mendoza Province,Mendoza,Malbec
32,Argentina,84,12,Mendoza Province,Mendoza,Bordeaux-style Red Blend
33,Argentina,84,17,Mendoza Province,Tupungato,Chenin Blanc
34,Argentina,84,17,Mendoza Province,Vista Flores,Malbec
35,Argentina,87,18,Mendoza Province,Mendoza,Malbec
36,Argentina,87,12,Mendoza Province,Mendoza,Torrontas
37,Argentina,88,15,Other,Calchaqua? Valley,Torrontas
38,Argentina,92,50,Mendoza Province,Mendoza,Cabernet Sauvignon
39,Argentina,84,11,Mendoza Province,Mendoza,Cabernet Sauvignon
40,Argentina,84,11,Other,San Juan,Syrah
41,Argentina,83,,Mendoza Province,Mendoza,Champagne Blend
42,Argentina,83,15,Mendoza Province,Mendoza,Sauvignon Blanc
43,Argentina,83,12,Mendoza Province,Mendoza,Cabernet Sauvignon
44,Argentina,87,20,Mendoza Province,Mendoza,Cabernet Sauvignon
45,Argentina,87,19,Mendoza Province,Mendoza,Bordeaux-style Red Blend
46,Argentina,88,18,Mendoza Province,Mendoza,Red Blend
47,Argentina,88,25,Mendoza Province,Mendoza,Red Blend
48,Argentina,83,23,Mendoza Province,Mendoza,Sparkling Blend
49,Argentina,82,8,Other,Argentina,Malbec
50,Argentina,81,12,Mendoza Province,Mendoza,Torrontas
51,Argentina,81,18,Mendoza Province,Mendoza,Red Blend
52,Argentina,86,19,Mendoza Province,Mendoza,Cabernet Sauvignon
53,Argentina,87,32,Mendoza Province,Mendoza,Malbec
